room,variant,relation,n,baseline_acc,repair_acc,gain
livingroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,8,12,0.6666666666666666,0.9166666666666666,0.25
livingroom,floor_direct_yfix_mesh_p2_close0.75_far1.6,9,11,0.7272727272727273,0.8181818181818182,0.09090909090909094
livingroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,0,5,0.6,0.6,0.0
livingroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,1,55,0.6181818181818182,0.6545454545454545,0.036363636363636376
livingroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,2,57,0.5614035087719298,0.6666666666666666,0.10526315789473684
livingroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,3,14,0.5714285714285714,0.7142857142857143,0.1428571428571429
livingroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,4,14,0.5714285714285714,0.6428571428571429,0.07142857142857151
livingroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,5,19,0.7368421052631579,0.7368421052631579,0.0
livingroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,6,54,0.46296296296296297,0.48148148148148145,0.01851851851851849
livingroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,7,53,0.41509433962264153,0.4716981132075472,0.05660377358490565
livingroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,8,12,0.6666666666666666,0.9166666666666666,0.25
livingroom,floor_prior_max0.8_mesh_p2_close0.75_far1.6,9,11,0.7272727272727273,0.8181818181818182,0.09090909090909094
livingroom,floor_prior_max1.2_mesh_p2_close0.75_far1.6,0,5,0.6,0.6,0.0
